DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed,LoadMethod
2017-06-01 00:00:00+00:00,0.0,ST4.2017060100.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 01:00:00+00:00,0.0,ST4.2017060101.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 02:00:00+00:00,0.0,ST4.2017060102.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 03:00:00+00:00,0.0,ST4.2017060103.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 04:00:00+00:00,0.0,ST4.2017060104.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 05:00:00+00:00,0.0,ST4.2017060105.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 06:00:00+00:00,0.0,ST4.2017060106.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 07:00:00+00:00,0.0,ST4.2017060107.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 08:00:00+00:00,0.0,ST4.2017060108.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 09:00:00+00:00,0.0,ST4.2017060109.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 10:00:00+00:00,0.0,ST4.2017060110.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 11:00:00+00:00,0.0,ST4.2017060111.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 12:00:00+00:00,0.0,ST4.2017060112.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 13:00:00+00:00,0.0,ST4.2017060113.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 14:00:00+00:00,0.0,ST4.2017060114.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 15:00:00+00:00,0.0,ST4.2017060115.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 16:00:00+00:00,0.0,ST4.2017060116.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 17:00:00+00:00,0.0,ST4.2017060117.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 18:00:00+00:00,0.0,ST4.2017060118.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 19:00:00+00:00,0.0,ST4.2017060119.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 20:00:00+00:00,0.0,ST4.2017060120.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 21:00:00+00:00,0.0,ST4.2017060121.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 22:00:00+00:00,0.0,ST4.2017060122.01h,legacy,WatershedFraction,pygrib:tp
2017-06-01 23:00:00+00:00,0.0,ST4.2017060123.01h,legacy,WatershedFraction,pygrib:tp
2017-06-02 00:00:00+00:00,0.0,ST4.2017060200.01h,legacy,WatershedFraction,pygrib:tp
2017-06-02 01:00:00+00:00,0.0,ST4.2017060201.01h,legacy,WatershedFraction,pygrib:tp
2017-06-02 02:00:00+00:00,0.002189990157480315,ST4.2017060202.01h,legacy,WatershedFraction,pygrib:tp
2017-06-02 03:00:00+00:00,0.0,ST4.2017060203.01h,legacy,WatershedFraction,pygrib:tp
2017-06-02 04:00:00+00:00,0.0,ST4.2017060204.01h,legacy,WatershedFraction,pygrib:tp
2017-06-02 05:00:00+00:00,0.0,ST4.2017060205.01h,legacy,WatershedFraction,pygrib:tp
2017-06-02 06:00:00+00:00,0.0,ST4.2017060206.01h,legacy,WatershedFraction,pygrib:tp
2017-06-02 07:00:00+00:00,0.0,ST4.2017060207.01h,legacy,WatershedFraction,pygrib:tp
2017-06-02 08:00:00+00:00,0.0,ST4.2017060208.01h,legacy,WatershedFraction,pygrib:tp
