DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed
2022-12-01 00:00:00+00:00,0.0,st4_conus.2022120100.01h.grb2,conus,WatershedFraction
2022-12-01 01:00:00+00:00,0.0,st4_conus.2022120101.01h.grb2,conus,WatershedFraction
2022-12-01 02:00:00+00:00,0.0,st4_conus.2022120102.01h.grb2,conus,WatershedFraction
2022-12-01 03:00:00+00:00,0.0,st4_conus.2022120103.01h.grb2,conus,WatershedFraction
2022-12-01 04:00:00+00:00,0.0,st4_conus.2022120104.01h.grb2,conus,WatershedFraction
2022-12-01 05:00:00+00:00,0.0,st4_conus.2022120105.01h.grb2,conus,WatershedFraction
2022-12-01 06:00:00+00:00,0.0,st4_conus.2022120106.01h.grb2,conus,WatershedFraction
2022-12-01 07:00:00+00:00,0.0,st4_conus.2022120107.01h.grb2,conus,WatershedFraction
2022-12-01 08:00:00+00:00,0.0,st4_conus.2022120108.01h.grb2,conus,WatershedFraction
2022-12-01 09:00:00+00:00,0.0,st4_conus.2022120109.01h.grb2,conus,WatershedFraction
2022-12-01 10:00:00+00:00,0.0,st4_conus.2022120110.01h.grb2,conus,WatershedFraction
2022-12-01 11:00:00+00:00,0.0,st4_conus.2022120111.01h.grb2,conus,WatershedFraction
2022-12-01 12:00:00+00:00,0.0,st4_conus.2022120112.01h.grb2,conus,WatershedFraction
2022-12-01 13:00:00+00:00,0.0,st4_conus.2022120113.01h.grb2,conus,WatershedFraction
2022-12-01 14:00:00+00:00,0.0,st4_conus.2022120114.01h.grb2,conus,WatershedFraction
2022-12-01 15:00:00+00:00,0.0,st4_conus.2022120115.01h.grb2,conus,WatershedFraction
2022-12-01 16:00:00+00:00,0.0,st4_conus.2022120116.01h.grb2,conus,WatershedFraction
2022-12-01 17:00:00+00:00,0.0,st4_conus.2022120117.01h.grb2,conus,WatershedFraction
2022-12-01 18:00:00+00:00,0.0,st4_conus.2022120118.01h.grb2,conus,WatershedFraction
2022-12-01 19:00:00+00:00,0.0,st4_conus.2022120119.01h.grb2,conus,WatershedFraction
2022-12-01 20:00:00+00:00,0.0,st4_conus.2022120120.01h.grb2,conus,WatershedFraction
2022-12-01 21:00:00+00:00,0.0,st4_conus.2022120121.01h.grb2,conus,WatershedFraction
2022-12-01 22:00:00+00:00,0.0,st4_conus.2022120122.01h.grb2,conus,WatershedFraction
2022-12-01 23:00:00+00:00,0.0,st4_conus.2022120123.01h.grb2,conus,WatershedFraction
2022-12-02 00:00:00+00:00,0.0,st4_conus.2022120200.01h.grb2,conus,WatershedFraction
2022-12-02 01:00:00+00:00,0.0,st4_conus.2022120201.01h.grb2,conus,WatershedFraction
2022-12-02 02:00:00+00:00,0.0,st4_conus.2022120202.01h.grb2,conus,WatershedFraction
2022-12-02 03:00:00+00:00,0.0,st4_conus.2022120203.01h.grb2,conus,WatershedFraction
2022-12-02 04:00:00+00:00,0.0,st4_conus.2022120204.01h.grb2,conus,WatershedFraction
2022-12-02 05:00:00+00:00,0.0,st4_conus.2022120205.01h.grb2,conus,WatershedFraction
2022-12-02 06:00:00+00:00,0.0,st4_conus.2022120206.01h.grb2,conus,WatershedFraction
2022-12-02 07:00:00+00:00,0.0,st4_conus.2022120207.01h.grb2,conus,WatershedFraction
2022-12-02 08:00:00+00:00,0.0,st4_conus.2022120208.01h.grb2,conus,WatershedFraction
2022-12-02 09:00:00+00:00,0.0,st4_conus.2022120209.01h.grb2,conus,WatershedFraction
2022-12-02 10:00:00+00:00,0.0,st4_conus.2022120210.01h.grb2,conus,WatershedFraction
2022-12-02 11:00:00+00:00,0.0,st4_conus.2022120211.01h.grb2,conus,WatershedFraction
2022-12-02 12:00:00+00:00,0.0,st4_conus.2022120212.01h.grb2,conus,WatershedFraction
2022-12-02 13:00:00+00:00,0.0,st4_conus.2022120213.01h.grb2,conus,WatershedFraction
2022-12-02 14:00:00+00:00,0.0,st4_conus.2022120214.01h.grb2,conus,WatershedFraction
2022-12-02 15:00:00+00:00,0.0,st4_conus.2022120215.01h.grb2,conus,WatershedFraction
2022-12-02 16:00:00+00:00,0.0,st4_conus.2022120216.01h.grb2,conus,WatershedFraction
2022-12-02 17:00:00+00:00,0.0,st4_conus.2022120217.01h.grb2,conus,WatershedFraction
2022-12-02 18:00:00+00:00,0.0,st4_conus.2022120218.01h.grb2,conus,WatershedFraction
2022-12-02 19:00:00+00:00,0.0,st4_conus.2022120219.01h.grb2,conus,WatershedFraction
2022-12-02 20:00:00+00:00,0.0,st4_conus.2022120220.01h.grb2,conus,WatershedFraction
2022-12-02 21:00:00+00:00,0.0,st4_conus.2022120221.01h.grb2,conus,WatershedFraction
2022-12-02 22:00:00+00:00,0.0,st4_conus.2022120222.01h.grb2,conus,WatershedFraction
2022-12-02 23:00:00+00:00,0.0,st4_conus.2022120223.01h.grb2,conus,WatershedFraction
2022-12-03 00:00:00+00:00,0.0,st4_conus.2022120300.01h.grb2,conus,WatershedFraction
2022-12-03 01:00:00+00:00,0.0,st4_conus.2022120301.01h.grb2,conus,WatershedFraction
2022-12-03 02:00:00+00:00,0.0,st4_conus.2022120302.01h.grb2,conus,WatershedFraction
2022-12-03 03:00:00+00:00,0.0,st4_conus.2022120303.01h.grb2,conus,WatershedFraction
2022-12-03 04:00:00+00:00,0.0,st4_conus.2022120304.01h.grb2,conus,WatershedFraction
2022-12-03 05:00:00+00:00,0.0,st4_conus.2022120305.01h.grb2,conus,WatershedFraction
2022-12-03 06:00:00+00:00,0.0,st4_conus.2022120306.01h.grb2,conus,WatershedFraction
2022-12-03 07:00:00+00:00,0.0,st4_conus.2022120307.01h.grb2,conus,WatershedFraction
2022-12-03 08:00:00+00:00,0.0,st4_conus.2022120308.01h.grb2,conus,WatershedFraction
2022-12-03 09:00:00+00:00,0.0,st4_conus.2022120309.01h.grb2,conus,WatershedFraction
2022-12-03 10:00:00+00:00,0.0,st4_conus.2022120310.01h.grb2,conus,WatershedFraction
2022-12-03 11:00:00+00:00,0.0,st4_conus.2022120311.01h.grb2,conus,WatershedFraction
2022-12-03 12:00:00+00:00,0.0,st4_conus.2022120312.01h.grb2,conus,WatershedFraction
2022-12-03 13:00:00+00:00,0.0,st4_conus.2022120313.01h.grb2,conus,WatershedFraction
2022-12-03 14:00:00+00:00,0.0,st4_conus.2022120314.01h.grb2,conus,WatershedFraction
2022-12-03 15:00:00+00:00,0.0,st4_conus.2022120315.01h.grb2,conus,WatershedFraction
2022-12-03 16:00:00+00:00,0.002811058070866142,st4_conus.2022120316.01h.grb2,conus,WatershedFraction
2022-12-03 17:00:00+00:00,0.11495630167322834,st4_conus.2022120317.01h.grb2,conus,WatershedFraction
2022-12-03 18:00:00+00:00,0.03523308562992126,st4_conus.2022120318.01h.grb2,conus,WatershedFraction
2022-12-03 19:00:00+00:00,0.0,st4_conus.2022120319.01h.grb2,conus,WatershedFraction
2022-12-03 20:00:00+00:00,0.0,st4_conus.2022120320.01h.grb2,conus,WatershedFraction
2022-12-03 21:00:00+00:00,0.0,st4_conus.2022120321.01h.grb2,conus,WatershedFraction
2022-12-03 22:00:00+00:00,0.0,st4_conus.2022120322.01h.grb2,conus,WatershedFraction
2022-12-03 23:00:00+00:00,0.0,st4_conus.2022120323.01h.grb2,conus,WatershedFraction
2022-12-04 00:00:00+00:00,0.0,st4_conus.2022120400.01h.grb2,conus,WatershedFraction
2022-12-04 01:00:00+00:00,0.0,st4_conus.2022120401.01h.grb2,conus,WatershedFraction
2022-12-04 02:00:00+00:00,0.0,st4_conus.2022120402.01h.grb2,conus,WatershedFraction
2022-12-04 03:00:00+00:00,0.0,st4_conus.2022120403.01h.grb2,conus,WatershedFraction
2022-12-04 04:00:00+00:00,0.0,st4_conus.2022120404.01h.grb2,conus,WatershedFraction
2022-12-04 05:00:00+00:00,0.0,st4_conus.2022120405.01h.grb2,conus,WatershedFraction
2022-12-04 06:00:00+00:00,0.0,st4_conus.2022120406.01h.grb2,conus,WatershedFraction
2022-12-04 07:00:00+00:00,0.0,st4_conus.2022120407.01h.grb2,conus,WatershedFraction
2022-12-04 08:00:00+00:00,0.0,st4_conus.2022120408.01h.grb2,conus,WatershedFraction
2022-12-04 09:00:00+00:00,0.0,st4_conus.2022120409.01h.grb2,conus,WatershedFraction
2022-12-04 10:00:00+00:00,0.0,st4_conus.2022120410.01h.grb2,conus,WatershedFraction
2022-12-04 11:00:00+00:00,0.0,st4_conus.2022120411.01h.grb2,conus,WatershedFraction
2022-12-04 12:00:00+00:00,0.0,st4_conus.2022120412.01h.grb2,conus,WatershedFraction
2022-12-04 13:00:00+00:00,0.0,st4_conus.2022120413.01h.grb2,conus,WatershedFraction
2022-12-04 14:00:00+00:00,0.0,st4_conus.2022120414.01h.grb2,conus,WatershedFraction
2022-12-04 15:00:00+00:00,0.0,st4_conus.2022120415.01h.grb2,conus,WatershedFraction
2022-12-04 16:00:00+00:00,0.0,st4_conus.2022120416.01h.grb2,conus,WatershedFraction
2022-12-04 17:00:00+00:00,0.0,st4_conus.2022120417.01h.grb2,conus,WatershedFraction
2022-12-04 18:00:00+00:00,0.0,st4_conus.2022120418.01h.grb2,conus,WatershedFraction
2022-12-04 19:00:00+00:00,0.0,st4_conus.2022120419.01h.grb2,conus,WatershedFraction
2022-12-04 20:00:00+00:00,0.0,st4_conus.2022120420.01h.grb2,conus,WatershedFraction
2022-12-04 21:00:00+00:00,0.0,st4_conus.2022120421.01h.grb2,conus,WatershedFraction
2022-12-04 22:00:00+00:00,0.0,st4_conus.2022120422.01h.grb2,conus,WatershedFraction
2022-12-04 23:00:00+00:00,0.0,st4_conus.2022120423.01h.grb2,conus,WatershedFraction
2022-12-05 00:00:00+00:00,0.0,st4_conus.2022120500.01h.grb2,conus,WatershedFraction
2022-12-05 01:00:00+00:00,0.0,st4_conus.2022120501.01h.grb2,conus,WatershedFraction
2022-12-05 02:00:00+00:00,0.0,st4_conus.2022120502.01h.grb2,conus,WatershedFraction
2022-12-05 03:00:00+00:00,0.0,st4_conus.2022120503.01h.grb2,conus,WatershedFraction
2022-12-05 04:00:00+00:00,0.0,st4_conus.2022120504.01h.grb2,conus,WatershedFraction
2022-12-05 05:00:00+00:00,0.0,st4_conus.2022120505.01h.grb2,conus,WatershedFraction
2022-12-05 06:00:00+00:00,0.0,st4_conus.2022120506.01h.grb2,conus,WatershedFraction
2022-12-05 07:00:00+00:00,0.0,st4_conus.2022120507.01h.grb2,conus,WatershedFraction
2022-12-05 08:00:00+00:00,0.0,st4_conus.2022120508.01h.grb2,conus,WatershedFraction
