DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed,LoadMethod
2017-12-01 00:00:00+00:00,0.0,ST4.2017120100.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 01:00:00+00:00,0.0,ST4.2017120101.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 02:00:00+00:00,0.0,ST4.2017120102.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 03:00:00+00:00,0.0,ST4.2017120103.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 04:00:00+00:00,0.0,ST4.2017120104.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 05:00:00+00:00,0.0,ST4.2017120105.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 06:00:00+00:00,0.0,ST4.2017120106.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 07:00:00+00:00,0.0,ST4.2017120107.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 08:00:00+00:00,0.0,ST4.2017120108.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 09:00:00+00:00,0.0,ST4.2017120109.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 10:00:00+00:00,0.0,ST4.2017120110.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 11:00:00+00:00,0.0,ST4.2017120111.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 12:00:00+00:00,0.0,ST4.2017120112.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 13:00:00+00:00,0.0,ST4.2017120113.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 14:00:00+00:00,0.0,ST4.2017120114.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 15:00:00+00:00,0.0,ST4.2017120115.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 16:00:00+00:00,0.0,ST4.2017120116.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 17:00:00+00:00,0.0,ST4.2017120117.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 18:00:00+00:00,0.0,ST4.2017120118.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 19:00:00+00:00,0.0,ST4.2017120119.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 20:00:00+00:00,0.0,ST4.2017120120.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 21:00:00+00:00,0.0,ST4.2017120121.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 22:00:00+00:00,0.0,ST4.2017120122.01h,legacy,WatershedFraction,pygrib:tp
2017-12-01 23:00:00+00:00,0.0,ST4.2017120123.01h,legacy,WatershedFraction,pygrib:tp
2017-12-02 00:00:00+00:00,0.0,ST4.2017120200.01h,legacy,WatershedFraction,pygrib:tp
2017-12-02 01:00:00+00:00,0.0,ST4.2017120201.01h,legacy,WatershedFraction,pygrib:tp
2017-12-02 02:00:00+00:00,0.0,ST4.2017120202.01h,legacy,WatershedFraction,pygrib:tp
2017-12-02 03:00:00+00:00,0.0,ST4.2017120203.01h,legacy,WatershedFraction,pygrib:tp
2017-12-02 04:00:00+00:00,0.0,ST4.2017120204.01h,legacy,WatershedFraction,pygrib:tp
2017-12-02 05:00:00+00:00,0.0,ST4.2017120205.01h,legacy,WatershedFraction,pygrib:tp
2017-12-02 06:00:00+00:00,0.0,ST4.2017120206.01h,legacy,WatershedFraction,pygrib:tp
2017-12-02 07:00:00+00:00,0.0,ST4.2017120207.01h,legacy,WatershedFraction,pygrib:tp
2017-12-02 08:00:00+00:00,0.0,ST4.2017120208.01h,legacy,WatershedFraction,pygrib:tp
