DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed
2021-01-01 00:00:00+00:00,0.010459737021207092,st4_conus.2021010100.01h.grb2,conus,WatershedFraction
2021-01-01 01:00:00+00:00,0.0,st4_conus.2021010101.01h.grb2,conus,WatershedFraction
2021-01-01 02:00:00+00:00,0.0,st4_conus.2021010102.01h.grb2,conus,WatershedFraction
2021-01-01 03:00:00+00:00,0.0,st4_conus.2021010103.01h.grb2,conus,WatershedFraction
2021-01-01 04:00:00+00:00,0.0,st4_conus.2021010104.01h.grb2,conus,WatershedFraction
2021-01-01 05:00:00+00:00,0.0,st4_conus.2021010105.01h.grb2,conus,WatershedFraction
2021-01-01 06:00:00+00:00,0.0,st4_conus.2021010106.01h.grb2,conus,WatershedFraction
2021-01-01 07:00:00+00:00,0.0,st4_conus.2021010107.01h.grb2,conus,WatershedFraction
2021-01-01 08:00:00+00:00,0.0,st4_conus.2021010108.01h.grb2,conus,WatershedFraction
2021-01-01 09:00:00+00:00,0.0,st4_conus.2021010109.01h.grb2,conus,WatershedFraction
2021-01-01 10:00:00+00:00,0.0,st4_conus.2021010110.01h.grb2,conus,WatershedFraction
2021-01-01 11:00:00+00:00,0.0,st4_conus.2021010111.01h.grb2,conus,WatershedFraction
2021-01-01 12:00:00+00:00,0.0,st4_conus.2021010112.01h.grb2,conus,WatershedFraction
2021-01-01 13:00:00+00:00,0.0,st4_conus.2021010113.01h.grb2,conus,WatershedFraction
2021-01-01 14:00:00+00:00,0.0,st4_conus.2021010114.01h.grb2,conus,WatershedFraction
2021-01-01 15:00:00+00:00,0.0,st4_conus.2021010115.01h.grb2,conus,WatershedFraction
2021-01-01 16:00:00+00:00,0.0,st4_conus.2021010116.01h.grb2,conus,WatershedFraction
2021-01-01 17:00:00+00:00,0.0,st4_conus.2021010117.01h.grb2,conus,WatershedFraction
2021-01-01 18:00:00+00:00,0.0,st4_conus.2021010118.01h.grb2,conus,WatershedFraction
2021-01-01 19:00:00+00:00,0.0,st4_conus.2021010119.01h.grb2,conus,WatershedFraction
2021-01-01 20:00:00+00:00,0.0,st4_conus.2021010120.01h.grb2,conus,WatershedFraction
2021-01-01 21:00:00+00:00,0.0,st4_conus.2021010121.01h.grb2,conus,WatershedFraction
2021-01-01 22:00:00+00:00,0.0,st4_conus.2021010122.01h.grb2,conus,WatershedFraction
2021-01-01 23:00:00+00:00,0.0,st4_conus.2021010123.01h.grb2,conus,WatershedFraction
2021-01-02 00:00:00+00:00,0.0,st4_conus.2021010200.01h.grb2,conus,WatershedFraction
2021-01-02 01:00:00+00:00,0.0,st4_conus.2021010201.01h.grb2,conus,WatershedFraction
2021-01-02 02:00:00+00:00,0.0,st4_conus.2021010202.01h.grb2,conus,WatershedFraction
2021-01-02 03:00:00+00:00,0.0,st4_conus.2021010203.01h.grb2,conus,WatershedFraction
2021-01-02 04:00:00+00:00,0.0,st4_conus.2021010204.01h.grb2,conus,WatershedFraction
2021-01-02 05:00:00+00:00,0.0,st4_conus.2021010205.01h.grb2,conus,WatershedFraction
2021-01-02 06:00:00+00:00,0.0,st4_conus.2021010206.01h.grb2,conus,WatershedFraction
2021-01-02 07:00:00+00:00,0.0,st4_conus.2021010207.01h.grb2,conus,WatershedFraction
2021-01-02 08:00:00+00:00,0.0,st4_conus.2021010208.01h.grb2,conus,WatershedFraction
2021-01-02 09:00:00+00:00,0.0,st4_conus.2021010209.01h.grb2,conus,WatershedFraction
