DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed,LoadMethod
2019-08-01 00:00:00+00:00,0.0,ST4.2019080100.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 01:00:00+00:00,0.00020986230965556427,ST4.2019080101.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 02:00:00+00:00,0.0,ST4.2019080102.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 03:00:00+00:00,0.0,ST4.2019080103.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 04:00:00+00:00,0.0,ST4.2019080104.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 05:00:00+00:00,0.0,ST4.2019080105.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 06:00:00+00:00,0.0,ST4.2019080106.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 07:00:00+00:00,0.0,ST4.2019080107.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 08:00:00+00:00,0.0,ST4.2019080108.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 09:00:00+00:00,0.0,ST4.2019080109.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 10:00:00+00:00,0.0,ST4.2019080110.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 11:00:00+00:00,0.0,ST4.2019080111.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 12:00:00+00:00,0.0,ST4.2019080112.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 13:00:00+00:00,0.0,ST4.2019080113.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 14:00:00+00:00,0.0,ST4.2019080114.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 15:00:00+00:00,0.0,ST4.2019080115.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 16:00:00+00:00,0.0,ST4.2019080116.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 17:00:00+00:00,0.0,ST4.2019080117.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 18:00:00+00:00,0.0,ST4.2019080118.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 19:00:00+00:00,0.0,ST4.2019080119.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 20:00:00+00:00,0.0,ST4.2019080120.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 21:00:00+00:00,0.0,ST4.2019080121.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 22:00:00+00:00,0.0,ST4.2019080122.01h,legacy,WatershedFraction,pygrib:tp
2019-08-01 23:00:00+00:00,0.0,ST4.2019080123.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 00:00:00+00:00,0.11185814077159006,ST4.2019080200.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 01:00:00+00:00,0.008462768207762058,ST4.2019080201.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 02:00:00+00:00,0.0,ST4.2019080202.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 03:00:00+00:00,0.0,ST4.2019080203.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 04:00:00+00:00,0.0,ST4.2019080204.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 05:00:00+00:00,0.0,ST4.2019080205.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 06:00:00+00:00,0.0,ST4.2019080206.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 07:00:00+00:00,0.0,ST4.2019080207.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 08:00:00+00:00,0.0,ST4.2019080208.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 09:00:00+00:00,0.0,ST4.2019080209.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 10:00:00+00:00,0.0,ST4.2019080210.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 11:00:00+00:00,0.0,ST4.2019080211.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 12:00:00+00:00,0.0,ST4.2019080212.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 13:00:00+00:00,0.0,ST4.2019080213.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 14:00:00+00:00,0.0,ST4.2019080214.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 15:00:00+00:00,0.0,ST4.2019080215.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 16:00:00+00:00,0.0,ST4.2019080216.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 17:00:00+00:00,0.0,ST4.2019080217.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 18:00:00+00:00,0.0,ST4.2019080218.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 19:00:00+00:00,0.0,ST4.2019080219.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 20:00:00+00:00,0.0,ST4.2019080220.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 21:00:00+00:00,0.0,ST4.2019080221.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 22:00:00+00:00,0.0,ST4.2019080222.01h,legacy,WatershedFraction,pygrib:tp
2019-08-02 23:00:00+00:00,0.0,ST4.2019080223.01h,legacy,WatershedFraction,pygrib:tp
2019-08-03 00:00:00+00:00,0.0,ST4.2019080300.01h,legacy,WatershedFraction,pygrib:tp
2019-08-03 01:00:00+00:00,0.0,ST4.2019080301.01h,legacy,WatershedFraction,pygrib:tp
2019-08-03 02:00:00+00:00,0.0,ST4.2019080302.01h,legacy,WatershedFraction,pygrib:tp
2019-08-03 03:00:00+00:00,0.0,ST4.2019080303.01h,legacy,WatershedFraction,pygrib:tp
2019-08-03 04:00:00+00:00,0.0,ST4.2019080304.01h,legacy,WatershedFraction,pygrib:tp
2019-08-03 05:00:00+00:00,0.0,ST4.2019080305.01h,legacy,WatershedFraction,pygrib:tp
2019-08-03 06:00:00+00:00,0.0,ST4.2019080306.01h,legacy,WatershedFraction,pygrib:tp
2019-08-03 07:00:00+00:00,0.0,ST4.2019080307.01h,legacy,WatershedFraction,pygrib:tp
