City,Watershed,GridType,Cell_I,Cell_J,Centroid_Lon,Centroid_Lat,CellArea_m2,PartArea_m2,CellAreaFraction,WatershedArea_m2,WatershedFraction,NearestToGage
Atlanta,US,StageIV,869,351,-84.44646705365834,33.74561191425714,15754435.078,4849014.22,0.307787,19801808.495,0.244877,No
Atlanta,US,StageIV,869,352,-84.43138237860067,33.77904470467835,15764377.06,7507227.887,0.476215,19801808.495,0.379118,Yes
Atlanta,US,StageIV,870,351,-84.40627469888022,33.733066634080295,15750704.313,3171427.542,0.201351,19801808.495,0.160158,No
Atlanta,US,StageIV,870,352,-84.39116579016856,33.76648670347506,15760642.727,4274138.846,0.271191,19801808.495,0.215846,No
Atlanta,DS,StageIV,868,351,-84.48668056261302,33.758135203825795,15758159.223,1297070.659,0.082311,34880114.96,0.037187,No
Atlanta,DS,StageIV,868,352,-84.47162016370626,33.79158069806501,15768104.768,7466881.033,0.473543,34880114.96,0.214073,Yes
Atlanta,DS,StageIV,869,351,-84.44646705365834,33.74561191425714,15754435.078,6980517.591,0.443083,34880114.96,0.200129,No
Atlanta,DS,StageIV,869,352,-84.43138237860067,33.77904470467835,15764377.06,11690079.289,0.74155,34880114.96,0.33515,No
Atlanta,DS,StageIV,870,351,-84.40627469888022,33.733066634080295,15750704.313,3171427.542,0.201351,34880114.96,0.090924,No
Atlanta,DS,StageIV,870,352,-84.39116579016856,33.76648670347506,15760642.727,4274138.846,0.271191,34880114.96,0.122538,No
