WaterYear,StageIV_Precip_in,Point Gage Precip (in),Site
2018,57.26691010668336,55.94,Philadelphia
2019,60.74114163316921,58.86,Philadelphia
2020,50.00026806558675,49.11,Philadelphia
2021,61.961725085193216,56.63,Philadelphia
2022,33.8825850736744,26.38,Philadelphia
2023,57.207050803328514,45.58,Philadelphia
2024,49.316451338835876,43.25,Philadelphia
2025,37.78883395101143,28.8,Philadelphia
2018,49.030618431102326,46.769999999999996,Atlanta
2019,57.22454255019681,55.29,Atlanta
2020,71.87561051171255,64.11,Atlanta
2021,60.059804160925154,53.16,Atlanta
2022,43.21351922736218,36.49,Atlanta
2023,62.512101786417276,56.41,Atlanta
2024,56.91218876722437,45.72,Atlanta
2025,48.88848210383855,49.06,Atlanta
2018,30.672359591297884,29.6,Austin
2019,41.034485798542086,38.2,Austin
2020,35.52889215401298,35.52,Austin
2021,31.33828641717468,29.6,Austin
2022,18.312902719443475,17.92,Austin
2023,32.96850400393702,24.52,Austin
2024,37.59309086347454,35.48,Austin
2025,31.36543263891708,28.080000000000002,Austin
