DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed,LoadMethod
2017-10-01 00:00:00+00:00,0.0,ST4.2017100100.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 01:00:00+00:00,0.0,ST4.2017100101.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 02:00:00+00:00,0.0,ST4.2017100102.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 03:00:00+00:00,0.0,ST4.2017100103.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 04:00:00+00:00,0.0,ST4.2017100104.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 05:00:00+00:00,0.0,ST4.2017100105.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 06:00:00+00:00,0.0,ST4.2017100106.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 07:00:00+00:00,0.0,ST4.2017100107.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 08:00:00+00:00,0.0,ST4.2017100108.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 09:00:00+00:00,0.0,ST4.2017100109.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 10:00:00+00:00,0.0,ST4.2017100110.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 11:00:00+00:00,0.0,ST4.2017100111.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 12:00:00+00:00,0.0,ST4.2017100112.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 13:00:00+00:00,0.0,ST4.2017100113.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 14:00:00+00:00,0.0,ST4.2017100114.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 15:00:00+00:00,0.0,ST4.2017100115.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 16:00:00+00:00,0.0,ST4.2017100116.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 17:00:00+00:00,0.0,ST4.2017100117.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 18:00:00+00:00,0.0,ST4.2017100118.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 19:00:00+00:00,0.0,ST4.2017100119.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 20:00:00+00:00,0.0,ST4.2017100120.01h,legacy,WatershedFraction,pygrib:tp
2017-10-01 21:00:00+00:00,0.0,ST4.2017100121.01h,legacy,WatershedFraction,pygrib:tp
