DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed
2022-05-01 00:00:00+00:00,0.0,st4_conus.2022050100.01h.grb2,conus,WatershedFraction
2022-05-01 01:00:00+00:00,0.0,st4_conus.2022050101.01h.grb2,conus,WatershedFraction
2022-05-01 02:00:00+00:00,0.0,st4_conus.2022050102.01h.grb2,conus,WatershedFraction
2022-05-01 03:00:00+00:00,0.0,st4_conus.2022050103.01h.grb2,conus,WatershedFraction
2022-05-01 04:00:00+00:00,0.0,st4_conus.2022050104.01h.grb2,conus,WatershedFraction
2022-05-01 05:00:00+00:00,0.0,st4_conus.2022050105.01h.grb2,conus,WatershedFraction
2022-05-01 06:00:00+00:00,0.0,st4_conus.2022050106.01h.grb2,conus,WatershedFraction
2022-05-01 07:00:00+00:00,0.0,st4_conus.2022050107.01h.grb2,conus,WatershedFraction
2022-05-01 08:00:00+00:00,0.0,st4_conus.2022050108.01h.grb2,conus,WatershedFraction
2022-05-01 09:00:00+00:00,0.0,st4_conus.2022050109.01h.grb2,conus,WatershedFraction
2022-05-01 10:00:00+00:00,0.0,st4_conus.2022050110.01h.grb2,conus,WatershedFraction
2022-05-01 11:00:00+00:00,0.0,st4_conus.2022050111.01h.grb2,conus,WatershedFraction
2022-05-01 12:00:00+00:00,0.0,st4_conus.2022050112.01h.grb2,conus,WatershedFraction
2022-05-01 13:00:00+00:00,0.0,st4_conus.2022050113.01h.grb2,conus,WatershedFraction
2022-05-01 14:00:00+00:00,0.0,st4_conus.2022050114.01h.grb2,conus,WatershedFraction
2022-05-01 15:00:00+00:00,0.0,st4_conus.2022050115.01h.grb2,conus,WatershedFraction
2022-05-01 16:00:00+00:00,0.0,st4_conus.2022050116.01h.grb2,conus,WatershedFraction
2022-05-01 17:00:00+00:00,0.0,st4_conus.2022050117.01h.grb2,conus,WatershedFraction
2022-05-01 18:00:00+00:00,0.0,st4_conus.2022050118.01h.grb2,conus,WatershedFraction
2022-05-01 19:00:00+00:00,0.0,st4_conus.2022050119.01h.grb2,conus,WatershedFraction
2022-05-01 20:00:00+00:00,0.0,st4_conus.2022050120.01h.grb2,conus,WatershedFraction
2022-05-01 21:00:00+00:00,0.0,st4_conus.2022050121.01h.grb2,conus,WatershedFraction
2022-05-01 22:00:00+00:00,0.0,st4_conus.2022050122.01h.grb2,conus,WatershedFraction
2022-05-01 23:00:00+00:00,0.0,st4_conus.2022050123.01h.grb2,conus,WatershedFraction
2022-05-02 00:00:00+00:00,0.0,st4_conus.2022050200.01h.grb2,conus,WatershedFraction
2022-05-02 01:00:00+00:00,0.0,st4_conus.2022050201.01h.grb2,conus,WatershedFraction
2022-05-02 02:00:00+00:00,0.0,st4_conus.2022050202.01h.grb2,conus,WatershedFraction
2022-05-02 03:00:00+00:00,0.0,st4_conus.2022050203.01h.grb2,conus,WatershedFraction
2022-05-02 04:00:00+00:00,0.0,st4_conus.2022050204.01h.grb2,conus,WatershedFraction
2022-05-02 05:00:00+00:00,0.0,st4_conus.2022050205.01h.grb2,conus,WatershedFraction
2022-05-02 06:00:00+00:00,0.0,st4_conus.2022050206.01h.grb2,conus,WatershedFraction
2022-05-02 07:00:00+00:00,0.0,st4_conus.2022050207.01h.grb2,conus,WatershedFraction
2022-05-02 08:00:00+00:00,0.0,st4_conus.2022050208.01h.grb2,conus,WatershedFraction
2022-05-02 09:00:00+00:00,0.0,st4_conus.2022050209.01h.grb2,conus,WatershedFraction
2022-05-02 10:00:00+00:00,0.0,st4_conus.2022050210.01h.grb2,conus,WatershedFraction
2022-05-02 11:00:00+00:00,0.0,st4_conus.2022050211.01h.grb2,conus,WatershedFraction
2022-05-02 12:00:00+00:00,0.0,st4_conus.2022050212.01h.grb2,conus,WatershedFraction
2022-05-02 13:00:00+00:00,0.0,st4_conus.2022050213.01h.grb2,conus,WatershedFraction
2022-05-02 14:00:00+00:00,0.0,st4_conus.2022050214.01h.grb2,conus,WatershedFraction
2022-05-02 15:00:00+00:00,0.0,st4_conus.2022050215.01h.grb2,conus,WatershedFraction
2022-05-02 16:00:00+00:00,0.0,st4_conus.2022050216.01h.grb2,conus,WatershedFraction
2022-05-02 17:00:00+00:00,0.0,st4_conus.2022050217.01h.grb2,conus,WatershedFraction
2022-05-02 18:00:00+00:00,0.0,st4_conus.2022050218.01h.grb2,conus,WatershedFraction
2022-05-02 19:00:00+00:00,0.0,st4_conus.2022050219.01h.grb2,conus,WatershedFraction
2022-05-02 20:00:00+00:00,0.0,st4_conus.2022050220.01h.grb2,conus,WatershedFraction
2022-05-02 21:00:00+00:00,0.0,st4_conus.2022050221.01h.grb2,conus,WatershedFraction
2022-05-02 22:00:00+00:00,0.0,st4_conus.2022050222.01h.grb2,conus,WatershedFraction
2022-05-02 23:00:00+00:00,0.0,st4_conus.2022050223.01h.grb2,conus,WatershedFraction
2022-05-03 00:00:00+00:00,0.0,st4_conus.2022050300.01h.grb2,conus,WatershedFraction
2022-05-03 01:00:00+00:00,0.0,st4_conus.2022050301.01h.grb2,conus,WatershedFraction
2022-05-03 02:00:00+00:00,0.0,st4_conus.2022050302.01h.grb2,conus,WatershedFraction
2022-05-03 03:00:00+00:00,0.0,st4_conus.2022050303.01h.grb2,conus,WatershedFraction
2022-05-03 04:00:00+00:00,0.0,st4_conus.2022050304.01h.grb2,conus,WatershedFraction
2022-05-03 05:00:00+00:00,0.0,st4_conus.2022050305.01h.grb2,conus,WatershedFraction
2022-05-03 06:00:00+00:00,0.0,st4_conus.2022050306.01h.grb2,conus,WatershedFraction
2022-05-03 07:00:00+00:00,0.0,st4_conus.2022050307.01h.grb2,conus,WatershedFraction
2022-05-03 08:00:00+00:00,0.0,st4_conus.2022050308.01h.grb2,conus,WatershedFraction
2022-05-03 09:00:00+00:00,0.0,st4_conus.2022050309.01h.grb2,conus,WatershedFraction
2022-05-03 10:00:00+00:00,0.0,st4_conus.2022050310.01h.grb2,conus,WatershedFraction
2022-05-03 11:00:00+00:00,0.0,st4_conus.2022050311.01h.grb2,conus,WatershedFraction
2022-05-03 12:00:00+00:00,0.0,st4_conus.2022050312.01h.grb2,conus,WatershedFraction
2022-05-03 13:00:00+00:00,0.0,st4_conus.2022050313.01h.grb2,conus,WatershedFraction
2022-05-03 14:00:00+00:00,0.0,st4_conus.2022050314.01h.grb2,conus,WatershedFraction
2022-05-03 15:00:00+00:00,0.0,st4_conus.2022050315.01h.grb2,conus,WatershedFraction
2022-05-03 16:00:00+00:00,0.0,st4_conus.2022050316.01h.grb2,conus,WatershedFraction
2022-05-03 17:00:00+00:00,0.0,st4_conus.2022050317.01h.grb2,conus,WatershedFraction
2022-05-03 18:00:00+00:00,0.0,st4_conus.2022050318.01h.grb2,conus,WatershedFraction
2022-05-03 19:00:00+00:00,0.0,st4_conus.2022050319.01h.grb2,conus,WatershedFraction
2022-05-03 20:00:00+00:00,0.0,st4_conus.2022050320.01h.grb2,conus,WatershedFraction
2022-05-03 21:00:00+00:00,0.0,st4_conus.2022050321.01h.grb2,conus,WatershedFraction
2022-05-03 22:00:00+00:00,0.0,st4_conus.2022050322.01h.grb2,conus,WatershedFraction
2022-05-03 23:00:00+00:00,0.0,st4_conus.2022050323.01h.grb2,conus,WatershedFraction
2022-05-04 00:00:00+00:00,0.0,st4_conus.2022050400.01h.grb2,conus,WatershedFraction
2022-05-04 01:00:00+00:00,0.0,st4_conus.2022050401.01h.grb2,conus,WatershedFraction
2022-05-04 02:00:00+00:00,0.0,st4_conus.2022050402.01h.grb2,conus,WatershedFraction
2022-05-04 03:00:00+00:00,0.0,st4_conus.2022050403.01h.grb2,conus,WatershedFraction
