DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed,LoadMethod
2017-03-01 00:00:00+00:00,0.0,ST4.2017030100.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 01:00:00+00:00,0.0,ST4.2017030101.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 02:00:00+00:00,0.0,ST4.2017030102.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 03:00:00+00:00,0.0,ST4.2017030103.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 04:00:00+00:00,0.0,ST4.2017030104.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 05:00:00+00:00,0.0,ST4.2017030105.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 06:00:00+00:00,0.0,ST4.2017030106.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 07:00:00+00:00,0.0,ST4.2017030107.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 08:00:00+00:00,0.0,ST4.2017030108.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 09:00:00+00:00,0.0,ST4.2017030109.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 10:00:00+00:00,0.0,ST4.2017030110.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 11:00:00+00:00,0.0,ST4.2017030111.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 12:00:00+00:00,0.0,ST4.2017030112.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 13:00:00+00:00,0.0,ST4.2017030113.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 14:00:00+00:00,0.0,ST4.2017030114.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 15:00:00+00:00,0.0,ST4.2017030115.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 16:00:00+00:00,0.0,ST4.2017030116.01h,legacy,WatershedFraction,pygrib:tp
2017-03-01 17:00:00+00:00,0.0,ST4.2017030117.01h,legacy,WatershedFraction,pygrib:tp
