DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed
2022-04-01 00:00:00+00:00,0.0,st4_conus.2022040100.01h.grb2,conus,WatershedFraction
2022-04-01 01:00:00+00:00,0.0,st4_conus.2022040101.01h.grb2,conus,WatershedFraction
2022-04-01 02:00:00+00:00,0.0,st4_conus.2022040102.01h.grb2,conus,WatershedFraction
2022-04-01 03:00:00+00:00,0.0,st4_conus.2022040103.01h.grb2,conus,WatershedFraction
2022-04-01 04:00:00+00:00,0.0,st4_conus.2022040104.01h.grb2,conus,WatershedFraction
2022-04-01 05:00:00+00:00,0.0,st4_conus.2022040105.01h.grb2,conus,WatershedFraction
2022-04-01 06:00:00+00:00,0.0,st4_conus.2022040106.01h.grb2,conus,WatershedFraction
2022-04-01 07:00:00+00:00,0.0,st4_conus.2022040107.01h.grb2,conus,WatershedFraction
2022-04-01 08:00:00+00:00,0.0,st4_conus.2022040108.01h.grb2,conus,WatershedFraction
2022-04-01 09:00:00+00:00,0.0,st4_conus.2022040109.01h.grb2,conus,WatershedFraction
2022-04-01 10:00:00+00:00,0.0,st4_conus.2022040110.01h.grb2,conus,WatershedFraction
2022-04-01 11:00:00+00:00,0.0,st4_conus.2022040111.01h.grb2,conus,WatershedFraction
2022-04-01 12:00:00+00:00,0.0,st4_conus.2022040112.01h.grb2,conus,WatershedFraction
2022-04-01 13:00:00+00:00,0.0,st4_conus.2022040113.01h.grb2,conus,WatershedFraction
2022-04-01 14:00:00+00:00,0.0,st4_conus.2022040114.01h.grb2,conus,WatershedFraction
2022-04-01 15:00:00+00:00,0.0,st4_conus.2022040115.01h.grb2,conus,WatershedFraction
2022-04-01 16:00:00+00:00,0.0,st4_conus.2022040116.01h.grb2,conus,WatershedFraction
2022-04-01 17:00:00+00:00,0.0,st4_conus.2022040117.01h.grb2,conus,WatershedFraction
2022-04-01 18:00:00+00:00,0.0,st4_conus.2022040118.01h.grb2,conus,WatershedFraction
2022-04-01 19:00:00+00:00,0.0,st4_conus.2022040119.01h.grb2,conus,WatershedFraction
2022-04-01 20:00:00+00:00,0.0,st4_conus.2022040120.01h.grb2,conus,WatershedFraction
2022-04-01 21:00:00+00:00,0.0,st4_conus.2022040121.01h.grb2,conus,WatershedFraction
2022-04-01 22:00:00+00:00,0.0,st4_conus.2022040122.01h.grb2,conus,WatershedFraction
2022-04-01 23:00:00+00:00,0.0,st4_conus.2022040123.01h.grb2,conus,WatershedFraction
2022-04-02 00:00:00+00:00,0.0,st4_conus.2022040200.01h.grb2,conus,WatershedFraction
2022-04-02 01:00:00+00:00,0.0,st4_conus.2022040201.01h.grb2,conus,WatershedFraction
2022-04-02 02:00:00+00:00,0.0,st4_conus.2022040202.01h.grb2,conus,WatershedFraction
2022-04-02 03:00:00+00:00,0.0,st4_conus.2022040203.01h.grb2,conus,WatershedFraction
2022-04-02 04:00:00+00:00,0.0,st4_conus.2022040204.01h.grb2,conus,WatershedFraction
2022-04-02 05:00:00+00:00,0.0,st4_conus.2022040205.01h.grb2,conus,WatershedFraction
2022-04-02 06:00:00+00:00,0.0,st4_conus.2022040206.01h.grb2,conus,WatershedFraction
2022-04-02 07:00:00+00:00,0.0,st4_conus.2022040207.01h.grb2,conus,WatershedFraction
2022-04-02 08:00:00+00:00,0.0,st4_conus.2022040208.01h.grb2,conus,WatershedFraction
2022-04-02 09:00:00+00:00,0.0,st4_conus.2022040209.01h.grb2,conus,WatershedFraction
2022-04-02 10:00:00+00:00,0.0,st4_conus.2022040210.01h.grb2,conus,WatershedFraction
2022-04-02 11:00:00+00:00,0.0,st4_conus.2022040211.01h.grb2,conus,WatershedFraction
2022-04-02 12:00:00+00:00,0.0,st4_conus.2022040212.01h.grb2,conus,WatershedFraction
2022-04-02 13:00:00+00:00,0.0,st4_conus.2022040213.01h.grb2,conus,WatershedFraction
2022-04-02 14:00:00+00:00,0.0,st4_conus.2022040214.01h.grb2,conus,WatershedFraction
2022-04-02 15:00:00+00:00,0.0,st4_conus.2022040215.01h.grb2,conus,WatershedFraction
2022-04-02 16:00:00+00:00,0.0,st4_conus.2022040216.01h.grb2,conus,WatershedFraction
2022-04-02 17:00:00+00:00,0.0,st4_conus.2022040217.01h.grb2,conus,WatershedFraction
