City,Watershed,GridType,Cell_I,Cell_J,Centroid_Lon,Centroid_Lat,CellArea_m2,PartArea_m2,CellAreaFraction,WatershedArea_m2,WatershedFraction,NearestToGage
Philadelphia,US,StageIV,978,592,-75.20313955302379,40.07236598919931,17617731.684,667340.763,0.037879,41831716.65,0.015953,No
Philadelphia,US,StageIV,978,593,-75.17862188334833,40.1051058101366,17627237.166,5819653.083,0.330151,41831716.65,0.139121,No
Philadelphia,US,StageIV,978,594,-75.15406755239034,40.13784629756495,17636740.993,82524.904,0.004679,41831716.65,0.001973,No
Philadelphia,US,StageIV,979,592,-75.16037411294681,40.05360750549397,17612284.627,2957105.064,0.1679,41831716.65,0.070691,No
Philadelphia,US,StageIV,979,593,-75.13583500788121,40.08632832418047,17621785.649,17226337.584,0.977559,41831716.65,0.411801,No
Philadelphia,US,StageIV,979,594,-75.11125924093118,40.119049786707606,17631285.014,2224335.363,0.126158,41831716.65,0.053173,No
Philadelphia,US,StageIV,980,592,-75.11764526173619,40.03482747334857,17606830.708,2656164.128,0.15086,41831716.65,0.063496,Yes
Philadelphia,US,StageIV,980,593,-75.09308479427466,40.06752928073548,17616327.265,10198255.76,0.578909,41831716.65,0.243792,No
Philadelphia,DS,StageIV,978,592,-75.20313955302379,40.07236598919931,17617731.684,1947488.538,0.110541,76904630.622,0.025323,No
Philadelphia,DS,StageIV,978,593,-75.17862188334833,40.1051058101366,17627237.166,5819653.083,0.330151,76904630.622,0.075674,No
Philadelphia,DS,StageIV,978,594,-75.15406755239034,40.13784629756495,17636740.993,82524.904,0.004679,76904630.622,0.001073,No
Philadelphia,DS,StageIV,979,591,-75.18487662912223,40.02088735693547,17602781.962,3069879.872,0.174397,76904630.622,0.039918,No
Philadelphia,DS,StageIV,979,592,-75.16037411294681,40.05360750549397,17612284.627,16878722.277,0.958349,76904630.622,0.219476,No
Philadelphia,DS,StageIV,979,593,-75.13583500788121,40.08632832418047,17621785.649,17226337.584,0.977559,76904630.622,0.223996,No
Philadelphia,DS,StageIV,979,594,-75.11125924093118,40.119049786707606,17631285.014,2224335.363,0.126158,76904630.622,0.028923,No
Philadelphia,DS,StageIV,980,591,-75.1421691397772,40.00212631348938,17597332.508,2450240.531,0.139239,76904630.622,0.031861,No
Philadelphia,DS,StageIV,980,592,-75.11764526173619,40.03482747334857,17606830.708,16316809.572,0.926732,76904630.622,0.212169,No
Philadelphia,DS,StageIV,980,593,-75.09308479427466,40.06752928073548,17616327.265,10198255.76,0.578909,76904630.622,0.132609,No
Philadelphia,DS,StageIV,981,592,-75.0749529999223,40.01602593562342,17601369.939,690383.138,0.039223,76904630.622,0.008977,Yes
