site,metric_column,metric_label,n_stageiv,n_pointgage,stageiv_mean,pointgage_mean,stageiv_median,pointgage_median,mean_difference_stageiv_minus_pointgage,median_difference_stageiv_minus_pointgage,mannwhitney_u_stat,mannwhitney_p,mannwhitney_significant_alpha_0.05,ks_stat,ks_p,ks_significant_alpha_0.05,anderson_darling_stat,anderson_darling_p,anderson_darling_significant_alpha_0.05,permutation_mean_difference_stat,permutation_mean_difference_p,permutation_significant_alpha_0.05,cliffs_delta,CLIFFS DELTA ABS VALUE
Atlanta,depth_in,Event Depth (in),589,503,0.758534804,0.787316103,0.478324444,0.52,-0.0287813,-0.041675556,143730,0.396662377,FALSE,0.044895314,0.622830645,FALSE,-0.549459469,0.66,FALSE,-0.0287813,0.5758,FALSE,-0.029726564,0.029726564
Atlanta,duration_hr,Event Duration (hr),589,503,15.77928693,13.50298211,11,10,2.27630482,1,163945.5,0.002314066,TRUE,0.078773539,0.064302235,FALSE,7.197080976,0.0005,TRUE,2.27630482,0.0062,TRUE,0.106741554,0.106741554
Atlanta,time_to_peak_hr,Time to Peak (hr),589,503,7.56196944,5.500994036,4,2,2.060975404,2,179090,1.94E-09,TRUE,0.186983363,8.88E-09,TRUE,36.39967002,0.0005,TRUE,2.060975404,0.0004,TRUE,0.208977038,0.208977038
Atlanta,avg_intensity_inhr,Average Intensity (in/hr),589,503,0.064629722,0.092607771,0.046929629,0.055,-0.027978049,-0.008070371,127883,9.69E-05,TRUE,0.121137352,0.000618384,TRUE,10.84086305,0.0005,TRUE,-0.027978049,0.0002,TRUE,-0.136704392,0.136704392
Atlanta,peak_hourly_intensity_inhr,Peak Hourly Intensity (in/hr),589,503,0.272298088,0.328827038,0.201291469,0.23,-0.05652895,-0.028708531,136400,0.023902418,TRUE,0.08096413,0.053066105,FALSE,3.662699925,0.0125,TRUE,-0.05652895,0.0012,TRUE,-0.079208957,0.079208957
Atlanta,dry_time_prior_hr,Dry Time Prior (hr),588,502,59.04251701,76.22908367,33.5,48,-17.18656666,-14.5,125783.5,2.56E-05,TRUE,0.119630322,0.000765261,TRUE,11.26101189,0.0005,TRUE,-17.18656666,0.0002,TRUE,-0.147738976,0.147738976
Atlanta,wet_duration_hr,Wet Duration (hr),589,503,10.76570458,8.369781312,7,6,2.395923272,1,176608.5,3.90E-08,TRUE,0.138678962,5.07E-05,TRUE,23.33764001,0.0005,TRUE,2.395923272,0.0002,TRUE,0.192225256,0.192225256
Atlanta,max_internal_dry_gap_hr,Max Internal Dry Gap (hr),589,503,2.823429542,3.041749503,2,2,-0.218319961,0,143216.5,0.333965498,FALSE,0.034411527,0.889842757,FALSE,-0.397394894,0.4865,FALSE,-0.218319961,0.2516,FALSE,-0.033193032,0.033193032
Austin,depth_in,Event Depth (in),348,326,0.719538841,0.700122699,0.41733449,0.44,0.019416142,-0.02266551,55719,0.690848923,FALSE,0.077586207,0.245382857,FALSE,0.029595776,0.345,FALSE,0.019416142,0.7456,FALSE,-0.017717368,0.017717368
Austin,duration_hr,Event Duration (hr),348,326,10.24425287,6.125766871,8,4,4.118486002,4,76475.5,4.48E-15,TRUE,0.23979268,5.34E-09,TRUE,46.25481442,0.0005,TRUE,4.118486002,0.0002,TRUE,0.348203582,0.348203582
